Source Name	Characteristics[specimen type]	Characteristics[barcode identifier]	Characteristics[internal_ID]	Characteristics[resolute_ID]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Term Source REF	Term Accession Number	Characteristics[qc element]	Protocol REF	Date	Sample Name	Characteristics[material type]	Term Source REF	Term Accession Number	Factor Value[cell seeding density]	Factor Value[replicate number]	Factor Value[extraction volume]	Unit
102905_J3	specimen	1024506497	102905.0	SM01ZK-K	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	JumpIn	cellosaurus		not applicable	sample collection		102905_J3	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	3.0	1500.0	µl
102039	specimen	1024502826	102039.0	SM01ZC-U	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS180	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0397	not applicable	sample collection		102039	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	1.0	750.0	µl
102037	specimen	1024502807	102037.0	SM01ZA-7	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS180	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0397	not applicable	sample collection		102037	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	2.0	750.0	µl
102047	specimen	1024502909	102047.0	SM01XR-M	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT-116	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0291	not applicable	sample collection		102047	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	3.0	750.0	µl
102908_J6	specimen	1024506527	102908.0	SM01ZP-X	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	JumpIn	cellosaurus		not applicable	sample collection		102908_J6	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	3.0	1500.0	µl
102923_M3	specimen	1024506671	102923.0	SM0207-C	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-468 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0419	not applicable	sample collection		102923_M3	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	3.0	1500.0	µl
102059	specimen	1024503021	102059.0	SM01Z5-5	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	Huh-7	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0336	not applicable	sample collection		102059	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	3.0	750.0	µl
102942_TD000232_4	specimen	1024506880			Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606		cellosaurus		not applicable	sample collection		102942_TD000232_4	serum	UBERON	http://purl.obolibrary.org/obo/UBERON_0001977				µl
p180-UHPLC Cal6	positive control	437359			not applicable				cellosaurus		calibrators	sample collection	2012-10-16	p180-UHPLC Cal6	not applicable						µl
p180-UHPLC Cal7	positive control	437362			not applicable				cellosaurus		calibrators	sample collection	2012-10-16	p180-UHPLC Cal7	not applicable						µl
102940_TD000232_2	specimen	1024506861			Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606		cellosaurus		not applicable	sample collection		102940_TD000232_2	serum	UBERON	http://purl.obolibrary.org/obo/UBERON_0001977				µl
102913_S2	specimen	1024506570	102913.0	SM01ZW-T	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-MEL-28	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0526	not applicable	sample collection		102913_S2	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	2.0	1500.0	µl
p180-UHPLC Cal1	positive control	437301			not applicable				cellosaurus		calibrators	sample collection	2012-10-16	p180-UHPLC Cal1	not applicable						µl
p180-UHPLC Cal3	positive control	437328			not applicable				cellosaurus		calibrators	sample collection	2012-10-16	p180-UHPLC Cal3	not applicable						µl
